product_id,product_name,category,sub_category,brand,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,skin_type,hair_type,ingredient,volume,spf,gender,features,description,purpose,image_url,product_url
900001,Plum Green Tea Face Wash,Beauty & Skincare,Face Wash,Plum,349,549,36,4.3,17155,In Stock,ShopWise Beauty,No Warranty,All Skin,Damaged Hair,Vitamin C,200 ml,N/A,Unisex,"Vitamin C, Dermatologically Tested, Paraben Free",Plum Green Tea Face Wash enriched with Vitamin C. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900001.jpg,https://example.com/products/900001
900002,Plum Green Tea Face Wash,Beauty & Skincare,Face Wash,Plum,549,949,42,4.1,1156,In Stock,ShopWise Beauty,No Warranty,Oily Skin,All Hair,Hyaluronic Acid,30 ml,N/A,Unisex,"Hyaluronic Acid, Dermatologically Tested, Paraben Free",Plum Green Tea Face Wash enriched with Hyaluronic Acid. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900002.jpg,https://example.com/products/900002
900003,Cetaphil Moisturizing Lotion,Beauty & Skincare,Moisturizer,Cetaphil,799,1249,36,4.4,20798,In Stock,ShopWise Beauty,No Warranty,All Skin,Oily Hair,Vitamin C,200 ml,N/A,Unisex,"Vitamin C, Dermatologically Tested, Paraben Free",Cetaphil Moisturizing Lotion enriched with Vitamin C. Suitable for hydration and daily use.,Hydration,https://example.com/images/beauty/900003.jpg,https://example.com/products/900003
900004,Mamaearth Ubtan Face Wash,Beauty & Skincare,Face Wash,Mamaearth,799,1249,36,4.8,19434,In Stock,ShopWise Beauty,No Warranty,Combination Skin,Oily Hair,Green Tea,100 ml,SPF 50,Unisex,"Green Tea, Dermatologically Tested, Paraben Free",Mamaearth Ubtan Face Wash enriched with Green Tea. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900004.jpg,https://example.com/products/900004
900005,Plum Body Mist,Beauty & Skincare,Beauty,Plum,899,1299,31,4.2,7937,In Stock,ShopWise Beauty,No Warranty,Dry Skin,All Hair,Hyaluronic Acid,50 ml,N/A,Unisex,"Hyaluronic Acid, Dermatologically Tested, Paraben Free",Plum Body Mist enriched with Hyaluronic Acid. Suitable for beauty and daily use.,Beauty,https://example.com/images/beauty/900005.jpg,https://example.com/products/900005
900006,Minimalist Niacinamide Serum,Beauty & Skincare,Serum,Minimalist,1299,1649,21,4.7,9494,In Stock,ShopWise Beauty,No Warranty,Oily Skin,All Hair,Salicylic Acid,150 ml,SPF 50,Unisex,"Salicylic Acid, Dermatologically Tested, Paraben Free",Minimalist Niacinamide Serum enriched with Salicylic Acid. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900006.jpg,https://example.com/products/900006
900007,Mamaearth Vitamin C Face Wash,Beauty & Skincare,Face Wash,Mamaearth,849,949,11,4.8,18924,In Stock,ShopWise Beauty,No Warranty,Oily Skin,Dry Hair,Salicylic Acid,30 ml,N/A,Unisex,"Salicylic Acid, Dermatologically Tested, Paraben Free",Mamaearth Vitamin C Face Wash enriched with Salicylic Acid. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900007.jpg,https://example.com/products/900007
900008,Neutrogena Hydro Boost Gel,Beauty & Skincare,Moisturizer,Neutrogena,249,649,62,4.4,16579,In Stock,ShopWise Beauty,No Warranty,Dry Skin,Dry Hair,Salicylic Acid,250 ml,N/A,Unisex,"Salicylic Acid, Dermatologically Tested, Paraben Free",Neutrogena Hydro Boost Gel enriched with Salicylic Acid. Suitable for hydration and daily use.,Hydration,https://example.com/images/beauty/900008.jpg,https://example.com/products/900008
900009,Minimalist Niacinamide Serum,Beauty & Skincare,Serum,Minimalist,1299,1399,7,4.2,5732,In Stock,ShopWise Beauty,No Warranty,All Skin,Damaged Hair,Ceramides,100 ml,N/A,Unisex,"Ceramides, Dermatologically Tested, Paraben Free",Minimalist Niacinamide Serum enriched with Ceramides. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900009.jpg,https://example.com/products/900009
900010,L'Oréal Paris Serum,Beauty & Skincare,Serum,L'Oréal,949,1299,27,4.7,2128,In Stock,ShopWise Beauty,No Warranty,Sensitive Skin,Damaged Hair,Vitamin C,250 ml,N/A,Unisex,"Vitamin C, Dermatologically Tested, Paraben Free",L'Oréal Paris Serum enriched with Vitamin C. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900010.jpg,https://example.com/products/900010
900011,Mamaearth Vitamin C Face Wash,Beauty & Skincare,Face Wash,Mamaearth,399,549,27,4.6,22024,In Stock,ShopWise Beauty,No Warranty,Oily Skin,Damaged Hair,Hyaluronic Acid,50 ml,N/A,Unisex,"Hyaluronic Acid, Dermatologically Tested, Paraben Free",Mamaearth Vitamin C Face Wash enriched with Hyaluronic Acid. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900011.jpg,https://example.com/products/900011
900012,L'Oréal Paris Serum,Beauty & Skincare,Serum,L'Oréal,1399,1499,7,4.8,5694,In Stock,ShopWise Beauty,No Warranty,Dry Skin,Dry Hair,Salicylic Acid,150 ml,N/A,Unisex,"Salicylic Acid, Dermatologically Tested, Paraben Free",L'Oréal Paris Serum enriched with Salicylic Acid. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900012.jpg,https://example.com/products/900012
900013,Plum Body Mist,Beauty & Skincare,Beauty,Plum,399,549,27,4.2,5343,In Stock,ShopWise Beauty,No Warranty,Oily Skin,Damaged Hair,Ceramides,250 ml,SPF 30,Unisex,"Ceramides, Dermatologically Tested, Paraben Free",Plum Body Mist enriched with Ceramides. Suitable for beauty and daily use.,Beauty,https://example.com/images/beauty/900013.jpg,https://example.com/products/900013
900014,Mamaearth Ubtan Face Wash,Beauty & Skincare,Face Wash,Mamaearth,399,849,53,4.4,14519,In Stock,ShopWise Beauty,No Warranty,Combination Skin,Oily Hair,Vitamin C,250 ml,SPF 50,Unisex,"Vitamin C, Dermatologically Tested, Paraben Free",Mamaearth Ubtan Face Wash enriched with Vitamin C. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900014.jpg,https://example.com/products/900014
900015,Nivea Soft Cream,Beauty & Skincare,Moisturizer,Nivea,799,899,11,4.7,6007,In Stock,ShopWise Beauty,No Warranty,Oily Skin,Dry Hair,Hyaluronic Acid,250 ml,N/A,Unisex,"Hyaluronic Acid, Dermatologically Tested, Paraben Free",Nivea Soft Cream enriched with Hyaluronic Acid. Suitable for hydration and daily use.,Hydration,https://example.com/images/beauty/900015.jpg,https://example.com/products/900015
900016,Cetaphil Gentle Skin Cleanser,Beauty & Skincare,Face Wash,Cetaphil,649,999,35,4.3,25230,In Stock,ShopWise Beauty,No Warranty,Sensitive Skin,Damaged Hair,Ceramides,30 ml,SPF 30,Unisex,"Ceramides, Dermatologically Tested, Paraben Free",Cetaphil Gentle Skin Cleanser enriched with Ceramides. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900016.jpg,https://example.com/products/900016
900017,Lakme Sunscreen,Beauty & Skincare,Sunscreen,Lakme,1149,1399,18,4.3,5445,In Stock,ShopWise Beauty,No Warranty,All Skin,Oily Hair,Salicylic Acid,150 ml,SPF 30,Unisex,"Salicylic Acid, Dermatologically Tested, Paraben Free",Lakme Sunscreen enriched with Salicylic Acid. Suitable for sun protection and daily use.,Sun Protection,https://example.com/images/beauty/900017.jpg,https://example.com/products/900017
900018,Cetaphil Daily Facial Cleanser,Beauty & Skincare,Face Wash,Cetaphil,549,599,8,4.4,12372,In Stock,ShopWise Beauty,No Warranty,Sensitive Skin,Oily Hair,Salicylic Acid,150 ml,N/A,Unisex,"Salicylic Acid, Dermatologically Tested, Paraben Free",Cetaphil Daily Facial Cleanser enriched with Salicylic Acid. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900018.jpg,https://example.com/products/900018
900019,L'Oréal Paris Serum,Beauty & Skincare,Serum,L'Oréal,449,649,31,4.0,12259,In Stock,ShopWise Beauty,No Warranty,Oily Skin,Dry Hair,Niacinamide,30 ml,SPF 30,Unisex,"Niacinamide, Dermatologically Tested, Paraben Free",L'Oréal Paris Serum enriched with Niacinamide. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900019.jpg,https://example.com/products/900019
900020,The Derma Co Salicylic Face Wash,Beauty & Skincare,Face Wash,The Derma Co,649,1099,41,4.7,3205,In Stock,ShopWise Beauty,No Warranty,Combination Skin,Dry Hair,Niacinamide,250 ml,N/A,Unisex,"Niacinamide, Dermatologically Tested, Paraben Free",The Derma Co Salicylic Face Wash enriched with Niacinamide. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900020.jpg,https://example.com/products/900020
900021,Lakme Sunscreen,Beauty & Skincare,Sunscreen,Lakme,949,1249,24,4.3,27555,In Stock,ShopWise Beauty,No Warranty,Dry Skin,Damaged Hair,Hyaluronic Acid,50 ml,SPF 30,Unisex,"Hyaluronic Acid, Dermatologically Tested, Paraben Free",Lakme Sunscreen enriched with Hyaluronic Acid. Suitable for sun protection and daily use.,Sun Protection,https://example.com/images/beauty/900021.jpg,https://example.com/products/900021
900022,Cetaphil Moisturizing Lotion,Beauty & Skincare,Moisturizer,Cetaphil,1199,1599,25,5.0,22279,In Stock,ShopWise Beauty,No Warranty,Oily Skin,All Hair,Vitamin C,100 ml,SPF 30,Unisex,"Vitamin C, Dermatologically Tested, Paraben Free",Cetaphil Moisturizing Lotion enriched with Vitamin C. Suitable for hydration and daily use.,Hydration,https://example.com/images/beauty/900022.jpg,https://example.com/products/900022
900023,Neutrogena Hydro Boost Gel,Beauty & Skincare,Moisturizer,Neutrogena,799,999,20,4.3,2701,In Stock,ShopWise Beauty,No Warranty,Sensitive Skin,Dry Hair,Vitamin C,200 ml,SPF 30,Unisex,"Vitamin C, Dermatologically Tested, Paraben Free",Neutrogena Hydro Boost Gel enriched with Vitamin C. Suitable for hydration and daily use.,Hydration,https://example.com/images/beauty/900023.jpg,https://example.com/products/900023
900024,Plum Green Tea Face Wash,Beauty & Skincare,Face Wash,Plum,549,649,15,4.3,7251,In Stock,ShopWise Beauty,No Warranty,Combination Skin,Dry Hair,Niacinamide,250 ml,N/A,Unisex,"Niacinamide, Dermatologically Tested, Paraben Free",Plum Green Tea Face Wash enriched with Niacinamide. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900024.jpg,https://example.com/products/900024
900025,L'Oréal Total Repair Shampoo,Beauty & Skincare,Shampoo,L'Oréal,349,699,50,4.9,6849,In Stock,ShopWise Beauty,No Warranty,Combination Skin,Dry Hair,Ceramides,30 ml,SPF 50,Unisex,"Ceramides, Dermatologically Tested, Paraben Free",L'Oréal Total Repair Shampoo enriched with Ceramides. Suitable for hair care and daily use.,Hair Care,https://example.com/images/beauty/900025.jpg,https://example.com/products/900025
900026,Lakme 9to5 Foundation,Beauty & Skincare,Makeup,Lakme,1249,1349,7,5.0,798,In Stock,ShopWise Beauty,No Warranty,All Skin,Dry Hair,Vitamin C,200 ml,N/A,Unisex,"Vitamin C, Dermatologically Tested, Paraben Free",Lakme 9to5 Foundation enriched with Vitamin C. Suitable for makeup and daily use.,Makeup,https://example.com/images/beauty/900026.jpg,https://example.com/products/900026
900027,Mamaearth Onion Shampoo,Beauty & Skincare,Shampoo,Mamaearth,349,649,46,4.1,26327,In Stock,ShopWise Beauty,No Warranty,Oily Skin,Damaged Hair,Hyaluronic Acid,150 ml,N/A,Unisex,"Hyaluronic Acid, Dermatologically Tested, Paraben Free",Mamaearth Onion Shampoo enriched with Hyaluronic Acid. Suitable for hair care and daily use.,Hair Care,https://example.com/images/beauty/900027.jpg,https://example.com/products/900027
900028,The Derma Co Vitamin C Serum,Beauty & Skincare,Serum,The Derma Co,699,899,22,4.5,11068,In Stock,ShopWise Beauty,No Warranty,Dry Skin,All Hair,Green Tea,30 ml,N/A,Unisex,"Green Tea, Dermatologically Tested, Paraben Free",The Derma Co Vitamin C Serum enriched with Green Tea. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900028.jpg,https://example.com/products/900028
900029,Nivea Face Wash,Beauty & Skincare,Face Wash,Nivea,699,849,18,4.7,11233,In Stock,ShopWise Beauty,No Warranty,Sensitive Skin,Oily Hair,Salicylic Acid,100 ml,SPF 50,Unisex,"Salicylic Acid, Dermatologically Tested, Paraben Free",Nivea Face Wash enriched with Salicylic Acid. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900029.jpg,https://example.com/products/900029
900030,Plum Night Gel,Beauty & Skincare,Moisturizer,Plum,949,1049,10,4.5,7241,In Stock,ShopWise Beauty,No Warranty,All Skin,Damaged Hair,Hyaluronic Acid,100 ml,SPF 30,Unisex,"Hyaluronic Acid, Dermatologically Tested, Paraben Free",Plum Night Gel enriched with Hyaluronic Acid. Suitable for hydration and daily use.,Hydration,https://example.com/images/beauty/900030.jpg,https://example.com/products/900030
900031,Nivea Body Lotion,Beauty & Skincare,Moisturizer,Nivea,249,599,58,4.6,28641,In Stock,ShopWise Beauty,No Warranty,Sensitive Skin,All Hair,Ceramides,50 ml,SPF 30,Unisex,"Ceramides, Dermatologically Tested, Paraben Free",Nivea Body Lotion enriched with Ceramides. Suitable for hydration and daily use.,Hydration,https://example.com/images/beauty/900031.jpg,https://example.com/products/900031
900032,Maybelline Fit Me Foundation,Beauty & Skincare,Makeup,Maybelline,1499,1799,17,4.9,11323,In Stock,ShopWise Beauty,No Warranty,All Skin,Damaged Hair,Ceramides,200 ml,SPF 50,Unisex,"Ceramides, Dermatologically Tested, Paraben Free",Maybelline Fit Me Foundation enriched with Ceramides. Suitable for makeup and daily use.,Makeup,https://example.com/images/beauty/900032.jpg,https://example.com/products/900032
900033,Cetaphil Moisturizing Lotion,Beauty & Skincare,Moisturizer,Cetaphil,1199,1399,14,4.5,11336,In Stock,ShopWise Beauty,No Warranty,Dry Skin,All Hair,Salicylic Acid,100 ml,SPF 30,Unisex,"Salicylic Acid, Dermatologically Tested, Paraben Free",Cetaphil Moisturizing Lotion enriched with Salicylic Acid. Suitable for hydration and daily use.,Hydration,https://example.com/images/beauty/900033.jpg,https://example.com/products/900033
900034,L'Oréal Total Repair Shampoo,Beauty & Skincare,Shampoo,L'Oréal,599,749,20,4.7,8037,In Stock,ShopWise Beauty,No Warranty,Dry Skin,Damaged Hair,Hyaluronic Acid,150 ml,N/A,Unisex,"Hyaluronic Acid, Dermatologically Tested, Paraben Free",L'Oréal Total Repair Shampoo enriched with Hyaluronic Acid. Suitable for hair care and daily use.,Hair Care,https://example.com/images/beauty/900034.jpg,https://example.com/products/900034
900035,Plum Body Mist,Beauty & Skincare,Beauty,Plum,499,549,9,4.5,5078,In Stock,ShopWise Beauty,No Warranty,Dry Skin,Dry Hair,Salicylic Acid,250 ml,SPF 50,Unisex,"Salicylic Acid, Dermatologically Tested, Paraben Free",Plum Body Mist enriched with Salicylic Acid. Suitable for beauty and daily use.,Beauty,https://example.com/images/beauty/900035.jpg,https://example.com/products/900035
900036,Nivea Body Lotion,Beauty & Skincare,Moisturizer,Nivea,799,1099,27,4.1,9232,In Stock,ShopWise Beauty,No Warranty,Combination Skin,Dry Hair,Aloe Vera,250 ml,N/A,Unisex,"Aloe Vera, Dermatologically Tested, Paraben Free",Nivea Body Lotion enriched with Aloe Vera. Suitable for hydration and daily use.,Hydration,https://example.com/images/beauty/900036.jpg,https://example.com/products/900036
900037,Nivea Body Lotion,Beauty & Skincare,Moisturizer,Nivea,1099,1349,19,5.0,1588,In Stock,ShopWise Beauty,No Warranty,Combination Skin,Damaged Hair,Aloe Vera,250 ml,SPF 50,Unisex,"Aloe Vera, Dermatologically Tested, Paraben Free",Nivea Body Lotion enriched with Aloe Vera. Suitable for hydration and daily use.,Hydration,https://example.com/images/beauty/900037.jpg,https://example.com/products/900037
900038,Lakme 9to5 Foundation,Beauty & Skincare,Makeup,Lakme,1899,2099,10,4.6,26375,In Stock,ShopWise Beauty,No Warranty,Oily Skin,Damaged Hair,Salicylic Acid,150 ml,SPF 30,Unisex,"Salicylic Acid, Dermatologically Tested, Paraben Free",Lakme 9to5 Foundation enriched with Salicylic Acid. Suitable for makeup and daily use.,Makeup,https://example.com/images/beauty/900038.jpg,https://example.com/products/900038
900039,L'Oréal Paris Serum,Beauty & Skincare,Serum,L'Oréal,1299,1749,26,4.6,28760,In Stock,ShopWise Beauty,No Warranty,Dry Skin,Oily Hair,Aloe Vera,50 ml,N/A,Unisex,"Aloe Vera, Dermatologically Tested, Paraben Free",L'Oréal Paris Serum enriched with Aloe Vera. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900039.jpg,https://example.com/products/900039
900040,Plum Green Tea Face Wash,Beauty & Skincare,Face Wash,Plum,199,299,33,4.7,19076,In Stock,ShopWise Beauty,No Warranty,All Skin,Oily Hair,Vitamin C,150 ml,SPF 30,Unisex,"Vitamin C, Dermatologically Tested, Paraben Free",Plum Green Tea Face Wash enriched with Vitamin C. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900040.jpg,https://example.com/products/900040
900041,Mamaearth Ubtan Face Wash,Beauty & Skincare,Face Wash,Mamaearth,499,599,17,4.5,27441,In Stock,ShopWise Beauty,No Warranty,Oily Skin,All Hair,Vitamin C,150 ml,SPF 30,Unisex,"Vitamin C, Dermatologically Tested, Paraben Free",Mamaearth Ubtan Face Wash enriched with Vitamin C. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900041.jpg,https://example.com/products/900041
900042,L'Oréal Revitalift Cream,Beauty & Skincare,Moisturizer,L'Oréal,299,749,60,4.8,2724,In Stock,ShopWise Beauty,No Warranty,Dry Skin,Dry Hair,Hyaluronic Acid,250 ml,N/A,Unisex,"Hyaluronic Acid, Dermatologically Tested, Paraben Free",L'Oréal Revitalift Cream enriched with Hyaluronic Acid. Suitable for hydration and daily use.,Hydration,https://example.com/images/beauty/900042.jpg,https://example.com/products/900042
900043,Minimalist Vitamin C Serum,Beauty & Skincare,Serum,Minimalist,1399,1599,13,4.5,2659,In Stock,ShopWise Beauty,No Warranty,Dry Skin,All Hair,Aloe Vera,250 ml,SPF 50,Unisex,"Aloe Vera, Dermatologically Tested, Paraben Free",Minimalist Vitamin C Serum enriched with Aloe Vera. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900043.jpg,https://example.com/products/900043
900044,Cetaphil Gentle Skin Cleanser,Beauty & Skincare,Face Wash,Cetaphil,849,949,11,4.7,23840,In Stock,ShopWise Beauty,No Warranty,Oily Skin,All Hair,Ceramides,250 ml,SPF 50,Unisex,"Ceramides, Dermatologically Tested, Paraben Free",Cetaphil Gentle Skin Cleanser enriched with Ceramides. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900044.jpg,https://example.com/products/900044
900045,Plum Body Mist,Beauty & Skincare,Beauty,Plum,899,1249,28,4.8,25351,In Stock,ShopWise Beauty,No Warranty,Dry Skin,Oily Hair,Ceramides,250 ml,SPF 30,Unisex,"Ceramides, Dermatologically Tested, Paraben Free",Plum Body Mist enriched with Ceramides. Suitable for beauty and daily use.,Beauty,https://example.com/images/beauty/900045.jpg,https://example.com/products/900045
900046,Lakme Face Cream,Beauty & Skincare,Moisturizer,Lakme,1349,1799,25,4.5,4164,In Stock,ShopWise Beauty,No Warranty,Sensitive Skin,Dry Hair,Hyaluronic Acid,100 ml,SPF 50,Unisex,"Hyaluronic Acid, Dermatologically Tested, Paraben Free",Lakme Face Cream enriched with Hyaluronic Acid. Suitable for hydration and daily use.,Hydration,https://example.com/images/beauty/900046.jpg,https://example.com/products/900046
900047,Cetaphil Moisturizing Lotion,Beauty & Skincare,Moisturizer,Cetaphil,1199,1249,4,4.5,2888,In Stock,ShopWise Beauty,No Warranty,Sensitive Skin,Dry Hair,Salicylic Acid,250 ml,SPF 50,Unisex,"Salicylic Acid, Dermatologically Tested, Paraben Free",Cetaphil Moisturizing Lotion enriched with Salicylic Acid. Suitable for hydration and daily use.,Hydration,https://example.com/images/beauty/900047.jpg,https://example.com/products/900047
900048,The Derma Co Salicylic Face Wash,Beauty & Skincare,Face Wash,The Derma Co,599,999,40,4.8,27205,In Stock,ShopWise Beauty,No Warranty,Combination Skin,Damaged Hair,Niacinamide,150 ml,SPF 30,Unisex,"Niacinamide, Dermatologically Tested, Paraben Free",The Derma Co Salicylic Face Wash enriched with Niacinamide. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900048.jpg,https://example.com/products/900048
900049,Mamaearth Onion Shampoo,Beauty & Skincare,Shampoo,Mamaearth,699,949,26,4.6,28621,In Stock,ShopWise Beauty,No Warranty,Sensitive Skin,Dry Hair,Green Tea,100 ml,SPF 30,Unisex,"Green Tea, Dermatologically Tested, Paraben Free",Mamaearth Onion Shampoo enriched with Green Tea. Suitable for hair care and daily use.,Hair Care,https://example.com/images/beauty/900049.jpg,https://example.com/products/900049
