product_id,product_name,category,sub_category,brand,model,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,color,energy_rating,capacity,power,features,description,purpose,image_url,product_url
800001,Samsung Front Load,Home Appliances,Washing Machine,Samsung,Front Load,69600,74200,6,4.0,6162,In Stock,ShopWise Home,1 Year,Grey,4 Star,28L,500W,"Steam Wash, Child Lock, Quick Wash","Samsung Front Load washing machine with steam wash, child lock, quick wash. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800001.jpg,https://example.com/products/800001
800002,Samsung Grill,Home Appliances,Microwave Oven,Samsung,Grill,16300,21000,22,4.8,8274,In Stock,ShopWise Home,1 Year,Black,3 Star,2L,750W,"Touch Control, Auto Cook Menu, Child Lock","Samsung Grill microwave oven with touch control, auto cook menu, child lock. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800002.jpg,https://example.com/products/800002
800003,Kent RO+UV+UF,Home Appliances,Water Purifier,Kent,RO+UV+UF,20200,25000,19,4.0,14150,In Stock,ShopWise Home,1 Year,Silver,5 Star,28L,1000W,"Mineral Booster, UV, UF","Kent RO+UV+UF water purifier with mineral booster, uv, uf. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800003.jpg,https://example.com/products/800003
800004,LG Front Load,Home Appliances,Washing Machine,LG,Front Load,28600,32000,11,4.7,1159,In Stock,ShopWise Home,1 Year,Grey,4 Star,10kg,750W,"Steam Wash, Inverter Motor, Child Lock","LG Front Load washing machine with steam wash, inverter motor, child lock. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800004.jpg,https://example.com/products/800004
800005,Whirlpool Fully Automatic,Home Appliances,Washing Machine,Whirlpool,Fully Automatic,69900,74400,6,4.9,1578,In Stock,ShopWise Home,1 Year,Grey,3 Star,8kg,1000W,"Steam Wash, Smart Diagnosis, Quick Wash","Whirlpool Fully Automatic washing machine with steam wash, smart diagnosis, quick wash. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800005.jpg,https://example.com/products/800005
800006,LG Double Door,Home Appliances,Refrigerator,LG,Double Door,33000,36800,10,4.2,10400,In Stock,ShopWise Home,1 Year,White,5 Star,190L,1500W,"Energy Rating 3 Star, Convertible Mode, Inverter Compressor","LG Double Door refrigerator with energy rating 3 star, convertible mode, inverter compressor. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800006.jpg,https://example.com/products/800006
800007,IFB Convection,Home Appliances,Microwave Oven,IFB,Convection,16400,19500,16,4.9,2142,In Stock,ShopWise Home,1 Year,Black,5 Star,2L,2000W,"Touch Control, Defrost, Auto Cook Menu","IFB Convection microwave oven with touch control, defrost, auto cook menu. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800007.jpg,https://example.com/products/800007
800008,Bajaj 500W,Home Appliances,Mixer Grinder,Bajaj,500W,9900,13800,28,4.4,10635,In Stock,ShopWise Home,1 Year,Grey,5 Star,8kg,1000W,"Stainless Steel Blades, Copper Motor, Overload Protection","Bajaj 500W mixer grinder with stainless steel blades, copper motor, overload protection. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800008.jpg,https://example.com/products/800008
800009,Kent RO+UV,Home Appliances,Water Purifier,Kent,RO+UV,18000,20200,11,4.2,4790,In Stock,ShopWise Home,1 Year,Silver,5 Star,8kg,500W,"RO, UF, Mineral Booster","Kent RO+UV water purifier with ro, uf, mineral booster. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800009.jpg,https://example.com/products/800009
800010,Prestige 1000W,Home Appliances,Mixer Grinder,Prestige,1000W,3700,7800,53,4.8,7873,In Stock,ShopWise Home,1 Year,White,5 Star,8kg,500W,"Stainless Steel Blades, 3 Jars, Copper Motor","Prestige 1000W mixer grinder with stainless steel blades, 3 jars, copper motor. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800010.jpg,https://example.com/products/800010
800011,Whirlpool Side by Side,Home Appliances,Refrigerator,Whirlpool,Side by Side,78700,79600,1,5.0,11037,In Stock,ShopWise Home,1 Year,Silver,4 Star,20L,1500W,"Inverter Compressor, Toughened Glass Shelves, Convertible Mode","Whirlpool Side by Side refrigerator with inverter compressor, toughened glass shelves, convertible mode. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800011.jpg,https://example.com/products/800011
800012,Samsung Top Load,Home Appliances,Washing Machine,Samsung,Top Load,65900,67400,2,4.9,905,In Stock,ShopWise Home,1 Year,Grey,5 Star,330L,1500W,"Child Lock, Steam Wash, Inverter Motor","Samsung Top Load washing machine with child lock, steam wash, inverter motor. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800012.jpg,https://example.com/products/800012
800013,Morphy Richards Grill,Home Appliances,Microwave Oven,Morphy Richards,Grill,9100,12100,25,4.9,8263,In Stock,ShopWise Home,1 Year,Silver,5 Star,1L,500W,"Touch Control, Timer, Defrost","Morphy Richards Grill microwave oven with touch control, timer, defrost. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800013.jpg,https://example.com/products/800013
800014,Philips 1000W,Home Appliances,Mixer Grinder,Philips,1000W,3200,3800,16,4.0,11845,In Stock,ShopWise Home,1 Year,Black,4 Star,8kg,750W,"Anti-Skid Feet, Overload Protection, 3 Jars","Philips 1000W mixer grinder with anti-skid feet, overload protection, 3 jars. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800014.jpg,https://example.com/products/800014
800015,Panasonic Convection,Home Appliances,Microwave Oven,Panasonic,Convection,18500,19500,5,4.1,12653,In Stock,ShopWise Home,1 Year,Grey,4 Star,8kg,750W,"Timer, Touch Control, Defrost","Panasonic Convection microwave oven with timer, touch control, defrost. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800015.jpg,https://example.com/products/800015
800016,Bajaj 750W,Home Appliances,Mixer Grinder,Bajaj,750W,7600,12500,39,4.1,4648,In Stock,ShopWise Home,1 Year,Grey,5 Star,190L,750W,"Copper Motor, Stainless Steel Blades, 3 Jars","Bajaj 750W mixer grinder with copper motor, stainless steel blades, 3 jars. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800016.jpg,https://example.com/products/800016
800017,Samsung Side by Side,Home Appliances,Refrigerator,Samsung,Side by Side,18700,21900,15,5.0,8085,In Stock,ShopWise Home,1 Year,White,4 Star,240L,1000W,"Toughened Glass Shelves, Frost Free, Convertible Mode","Samsung Side by Side refrigerator with toughened glass shelves, frost free, convertible mode. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800017.jpg,https://example.com/products/800017
800018,Prestige 1000W,Home Appliances,Mixer Grinder,Prestige,1000W,5500,10100,46,4.7,9090,In Stock,ShopWise Home,1 Year,Grey,3 Star,28L,500W,"Copper Motor, Overload Protection, Stainless Steel Blades","Prestige 1000W mixer grinder with copper motor, overload protection, stainless steel blades. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800018.jpg,https://example.com/products/800018
800019,Whirlpool Single Door,Home Appliances,Refrigerator,Whirlpool,Single Door,44400,48600,9,5.0,14380,In Stock,ShopWise Home,1 Year,White,3 Star,190L,1000W,"Frost Free, Toughened Glass Shelves, Inverter Compressor","Whirlpool Single Door refrigerator with frost free, toughened glass shelves, inverter compressor. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800019.jpg,https://example.com/products/800019
800020,Pureit RO,Home Appliances,Water Purifier,Pureit,RO,9500,11000,14,4.0,12881,In Stock,ShopWise Home,1 Year,Grey,5 Star,28L,1000W,"UV, TDS Controller, Mineral Booster","Pureit RO water purifier with uv, tds controller, mineral booster. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800020.jpg,https://example.com/products/800020
800021,AO Smith RO,Home Appliances,Water Purifier,AO Smith,RO,26200,29900,12,4.2,13164,In Stock,ShopWise Home,1 Year,White,3 Star,240L,500W,"RO, Mineral Booster, UV","AO Smith RO water purifier with ro, mineral booster, uv. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800021.jpg,https://example.com/products/800021
800022,Morphy Richards Convection,Home Appliances,Microwave Oven,Morphy Richards,Convection,20400,24800,18,4.8,11516,In Stock,ShopWise Home,1 Year,White,3 Star,8kg,2000W,"Defrost, Auto Cook Menu, Touch Control","Morphy Richards Convection microwave oven with defrost, auto cook menu, touch control. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800022.jpg,https://example.com/products/800022
800023,LG Single Door,Home Appliances,Refrigerator,LG,Single Door,23600,26100,10,4.9,13265,In Stock,ShopWise Home,1 Year,Grey,4 Star,240L,1500W,"Energy Rating 3 Star, Convertible Mode, Frost Free","LG Single Door refrigerator with energy rating 3 star, convertible mode, frost free. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800023.jpg,https://example.com/products/800023
800024,Haier Convertible,Home Appliances,Refrigerator,Haier,Convertible,40200,41200,2,4.6,466,In Stock,ShopWise Home,1 Year,Black,5 Star,20L,1000W,"Frost Free, Inverter Compressor, Convertible Mode","Haier Convertible refrigerator with frost free, inverter compressor, convertible mode. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800024.jpg,https://example.com/products/800024
800025,LG Double Door,Home Appliances,Refrigerator,LG,Double Door,30100,32000,6,4.9,4962,In Stock,ShopWise Home,1 Year,Grey,5 Star,1.5L,1500W,"Inverter Compressor, Energy Rating 3 Star, Toughened Glass Shelves","LG Double Door refrigerator with inverter compressor, energy rating 3 star, toughened glass shelves. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800025.jpg,https://example.com/products/800025
800026,Samsung Double Door,Home Appliances,Refrigerator,Samsung,Double Door,33400,35700,6,4.6,1897,In Stock,ShopWise Home,1 Year,Grey,4 Star,8kg,2000W,"Frost Free, Energy Rating 3 Star, Toughened Glass Shelves","Samsung Double Door refrigerator with frost free, energy rating 3 star, toughened glass shelves. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800026.jpg,https://example.com/products/800026
800027,Samsung Front Load,Home Appliances,Washing Machine,Samsung,Front Load,38900,43300,10,4.5,11931,In Stock,ShopWise Home,1 Year,White,4 Star,8kg,500W,"Smart Diagnosis, Steam Wash, Child Lock","Samsung Front Load washing machine with smart diagnosis, steam wash, child lock. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800027.jpg,https://example.com/products/800027
800028,Bajaj 1000W,Home Appliances,Mixer Grinder,Bajaj,1000W,3900,5400,28,4.5,14911,In Stock,ShopWise Home,1 Year,Black,5 Star,240L,2000W,"Anti-Skid Feet, Copper Motor, Stainless Steel Blades","Bajaj 1000W mixer grinder with anti-skid feet, copper motor, stainless steel blades. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800028.jpg,https://example.com/products/800028
800029,Livpure RO+UV+UF,Home Appliances,Water Purifier,Livpure,RO+UV+UF,26700,29900,11,4.8,2880,In Stock,ShopWise Home,1 Year,Silver,3 Star,10kg,1500W,"UF, UV, TDS Controller","Livpure RO+UV+UF water purifier with uf, uv, tds controller. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800029.jpg,https://example.com/products/800029
800030,Whirlpool Side by Side,Home Appliances,Refrigerator,Whirlpool,Side by Side,72500,74300,2,4.5,11899,In Stock,ShopWise Home,1 Year,White,3 Star,1.5L,500W,"Toughened Glass Shelves, Energy Rating 3 Star, Inverter Compressor","Whirlpool Side by Side refrigerator with toughened glass shelves, energy rating 3 star, inverter compressor. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800030.jpg,https://example.com/products/800030
800031,Sujata 500W,Home Appliances,Mixer Grinder,Sujata,500W,6200,10000,38,4.5,8118,In Stock,ShopWise Home,1 Year,White,5 Star,20L,500W,"Stainless Steel Blades, Anti-Skid Feet, 3 Jars","Sujata 500W mixer grinder with stainless steel blades, anti-skid feet, 3 jars. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800031.jpg,https://example.com/products/800031
800032,Bajaj 1000W,Home Appliances,Mixer Grinder,Bajaj,1000W,11300,14600,23,4.3,11464,In Stock,ShopWise Home,1 Year,Black,3 Star,7kg,1500W,"Overload Protection, Anti-Skid Feet, Copper Motor","Bajaj 1000W mixer grinder with overload protection, anti-skid feet, copper motor. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800032.jpg,https://example.com/products/800032
800033,Samsung Side by Side,Home Appliances,Refrigerator,Samsung,Side by Side,26800,30000,11,4.9,8099,In Stock,ShopWise Home,1 Year,Silver,5 Star,10kg,2000W,"Energy Rating 3 Star, Convertible Mode, Inverter Compressor","Samsung Side by Side refrigerator with energy rating 3 star, convertible mode, inverter compressor. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800033.jpg,https://example.com/products/800033
800034,Prestige 1000W,Home Appliances,Mixer Grinder,Prestige,1000W,11000,13000,15,4.3,12586,In Stock,ShopWise Home,1 Year,Black,3 Star,28L,500W,"Copper Motor, Overload Protection, Anti-Skid Feet","Prestige 1000W mixer grinder with copper motor, overload protection, anti-skid feet. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800034.jpg,https://example.com/products/800034
800035,Sujata 500W,Home Appliances,Mixer Grinder,Sujata,500W,8800,10100,13,4.8,5186,In Stock,ShopWise Home,1 Year,Black,3 Star,10kg,2000W,"3 Jars, Overload Protection, Copper Motor","Sujata 500W mixer grinder with 3 jars, overload protection, copper motor. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800035.jpg,https://example.com/products/800035
800036,Whirlpool Double Door,Home Appliances,Refrigerator,Whirlpool,Double Door,30300,35000,13,4.8,9359,In Stock,ShopWise Home,1 Year,Black,5 Star,20L,750W,"Toughened Glass Shelves, Frost Free, Convertible Mode","Whirlpool Double Door refrigerator with toughened glass shelves, frost free, convertible mode. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800036.jpg,https://example.com/products/800036
800037,Whirlpool Fully Automatic,Home Appliances,Washing Machine,Whirlpool,Fully Automatic,28900,33100,13,4.2,12874,In Stock,ShopWise Home,1 Year,White,5 Star,20L,1500W,"Smart Diagnosis, Steam Wash, Quick Wash","Whirlpool Fully Automatic washing machine with smart diagnosis, steam wash, quick wash. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800037.jpg,https://example.com/products/800037
800038,Bosch Front Load,Home Appliances,Washing Machine,Bosch,Front Load,28100,29300,4,5.0,13588,In Stock,ShopWise Home,1 Year,Black,5 Star,7kg,750W,"Smart Diagnosis, Inverter Motor, Child Lock","Bosch Front Load washing machine with smart diagnosis, inverter motor, child lock. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800038.jpg,https://example.com/products/800038
800039,Whirlpool Front Load,Home Appliances,Washing Machine,Whirlpool,Front Load,26300,29700,11,4.1,6678,In Stock,ShopWise Home,1 Year,Grey,3 Star,2L,1500W,"Quick Wash, Child Lock, Inverter Motor","Whirlpool Front Load washing machine with quick wash, child lock, inverter motor. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800039.jpg,https://example.com/products/800039
800040,Aquaguard RO+UV+UF,Home Appliances,Water Purifier,Aquaguard,RO+UV+UF,26100,30200,14,4.5,11137,In Stock,ShopWise Home,1 Year,Black,4 Star,8kg,750W,"UF, TDS Controller, RO","Aquaguard RO+UV+UF water purifier with uf, tds controller, ro. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800040.jpg,https://example.com/products/800040
800041,Samsung Single Door,Home Appliances,Refrigerator,Samsung,Single Door,46500,48900,5,4.8,7315,In Stock,ShopWise Home,1 Year,White,3 Star,10kg,1500W,"Inverter Compressor, Toughened Glass Shelves, Frost Free","Samsung Single Door refrigerator with inverter compressor, toughened glass shelves, frost free. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800041.jpg,https://example.com/products/800041
800042,LG Front Load,Home Appliances,Washing Machine,LG,Front Load,64000,67900,6,4.0,10395,In Stock,ShopWise Home,1 Year,Black,3 Star,7kg,750W,"Smart Diagnosis, Inverter Motor, Child Lock","LG Front Load washing machine with smart diagnosis, inverter motor, child lock. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800042.jpg,https://example.com/products/800042
800043,Butterfly 750W,Home Appliances,Mixer Grinder,Butterfly,750W,10700,13600,21,4.1,201,In Stock,ShopWise Home,1 Year,Grey,3 Star,1L,1500W,"Copper Motor, Overload Protection, Anti-Skid Feet","Butterfly 750W mixer grinder with copper motor, overload protection, anti-skid feet. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800043.jpg,https://example.com/products/800043
800044,LG Fully Automatic,Home Appliances,Washing Machine,LG,Fully Automatic,23200,26500,12,4.4,11077,In Stock,ShopWise Home,1 Year,Silver,5 Star,1L,1000W,"Inverter Motor, Smart Diagnosis, Quick Wash","LG Fully Automatic washing machine with inverter motor, smart diagnosis, quick wash. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800044.jpg,https://example.com/products/800044
800045,Bosch Front Load,Home Appliances,Washing Machine,Bosch,Front Load,51300,52700,3,4.9,14978,In Stock,ShopWise Home,1 Year,Silver,4 Star,1L,500W,"Smart Diagnosis, Child Lock, Quick Wash","Bosch Front Load washing machine with smart diagnosis, child lock, quick wash. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800045.jpg,https://example.com/products/800045
800046,Sujata 750W,Home Appliances,Mixer Grinder,Sujata,750W,2500,5100,51,4.6,14883,In Stock,ShopWise Home,1 Year,Grey,4 Star,8kg,1000W,"Overload Protection, Copper Motor, 3 Jars","Sujata 750W mixer grinder with overload protection, copper motor, 3 jars. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800046.jpg,https://example.com/products/800046
800047,Haier Double Door,Home Appliances,Refrigerator,Haier,Double Door,41700,46300,10,4.0,3476,In Stock,ShopWise Home,1 Year,Black,4 Star,1L,2000W,"Energy Rating 3 Star, Toughened Glass Shelves, Convertible Mode","Haier Double Door refrigerator with energy rating 3 star, toughened glass shelves, convertible mode. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800047.jpg,https://example.com/products/800047
800048,Butterfly 500W,Home Appliances,Mixer Grinder,Butterfly,500W,11800,16700,29,4.5,9625,In Stock,ShopWise Home,1 Year,Black,5 Star,28L,500W,"Copper Motor, Anti-Skid Feet, Overload Protection","Butterfly 500W mixer grinder with copper motor, anti-skid feet, overload protection. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800048.jpg,https://example.com/products/800048
800049,Butterfly 500W,Home Appliances,Mixer Grinder,Butterfly,500W,8200,11500,29,4.4,2000,In Stock,ShopWise Home,1 Year,White,5 Star,10kg,1000W,"Stainless Steel Blades, Copper Motor, 3 Jars","Butterfly 500W mixer grinder with stainless steel blades, copper motor, 3 jars. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800049.jpg,https://example.com/products/800049
800050,Samsung Semi Automatic,Home Appliances,Washing Machine,Samsung,Semi Automatic,50500,51100,1,4.6,2505,In Stock,ShopWise Home,1 Year,White,4 Star,330L,1500W,"Smart Diagnosis, Inverter Motor, Quick Wash","Samsung Semi Automatic washing machine with smart diagnosis, inverter motor, quick wash. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800050.jpg,https://example.com/products/800050
800051,Sujata 500W,Home Appliances,Mixer Grinder,Sujata,500W,6300,8100,22,4.7,267,In Stock,ShopWise Home,1 Year,Black,4 Star,28L,2000W,"Overload Protection, Copper Motor, 3 Jars","Sujata 500W mixer grinder with overload protection, copper motor, 3 jars. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800051.jpg,https://example.com/products/800051
800052,Whirlpool Fully Automatic,Home Appliances,Washing Machine,Whirlpool,Fully Automatic,63700,64800,2,4.5,8860,In Stock,ShopWise Home,1 Year,Silver,5 Star,8kg,1500W,"Inverter Motor, Steam Wash, Smart Diagnosis","Whirlpool Fully Automatic washing machine with inverter motor, steam wash, smart diagnosis. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800052.jpg,https://example.com/products/800052
800053,Bosch Fully Automatic,Home Appliances,Washing Machine,Bosch,Fully Automatic,39700,42800,7,4.5,5250,In Stock,ShopWise Home,1 Year,Grey,3 Star,20L,1500W,"Child Lock, Inverter Motor, Quick Wash","Bosch Fully Automatic washing machine with child lock, inverter motor, quick wash. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800053.jpg,https://example.com/products/800053
800054,Samsung Solo,Home Appliances,Microwave Oven,Samsung,Solo,19800,24100,18,4.6,9795,In Stock,ShopWise Home,1 Year,Black,5 Star,28L,2000W,"Auto Cook Menu, Timer, Defrost","Samsung Solo microwave oven with auto cook menu, timer, defrost. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800054.jpg,https://example.com/products/800054
800055,Bosch Front Load,Home Appliances,Washing Machine,Bosch,Front Load,68400,72700,6,4.5,8940,In Stock,ShopWise Home,1 Year,White,3 Star,240L,750W,"Steam Wash, Inverter Motor, Quick Wash","Bosch Front Load washing machine with steam wash, inverter motor, quick wash. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800055.jpg,https://example.com/products/800055
800056,LG Top Load,Home Appliances,Washing Machine,LG,Top Load,20600,23100,11,4.9,8281,In Stock,ShopWise Home,1 Year,White,3 Star,7kg,1500W,"Steam Wash, Smart Diagnosis, Quick Wash","LG Top Load washing machine with steam wash, smart diagnosis, quick wash. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800056.jpg,https://example.com/products/800056
800057,Bosch Fully Automatic,Home Appliances,Washing Machine,Bosch,Fully Automatic,69500,74400,7,4.5,7105,In Stock,ShopWise Home,1 Year,Black,5 Star,20L,500W,"Quick Wash, Child Lock, Smart Diagnosis","Bosch Fully Automatic washing machine with quick wash, child lock, smart diagnosis. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800057.jpg,https://example.com/products/800057
800058,Kent RO,Home Appliances,Water Purifier,Kent,RO,12500,14400,13,4.7,7523,In Stock,ShopWise Home,1 Year,Silver,4 Star,8kg,750W,"UF, Mineral Booster, TDS Controller","Kent RO water purifier with uf, mineral booster, tds controller. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800058.jpg,https://example.com/products/800058
800059,Haier Double Door,Home Appliances,Refrigerator,Haier,Double Door,76700,78100,2,4.6,6903,In Stock,ShopWise Home,1 Year,Black,4 Star,1.5L,1500W,"Energy Rating 3 Star, Toughened Glass Shelves, Convertible Mode","Haier Double Door refrigerator with energy rating 3 star, toughened glass shelves, convertible mode. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800059.jpg,https://example.com/products/800059
800060,IFB Fully Automatic,Home Appliances,Washing Machine,IFB,Fully Automatic,57000,59900,5,4.5,4926,In Stock,ShopWise Home,1 Year,White,3 Star,2L,1500W,"Inverter Motor, Smart Diagnosis, Quick Wash","IFB Fully Automatic washing machine with inverter motor, smart diagnosis, quick wash. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800060.jpg,https://example.com/products/800060
800061,LG Convection,Home Appliances,Microwave Oven,LG,Convection,17500,18700,6,4.6,352,In Stock,ShopWise Home,1 Year,Black,5 Star,8kg,750W,"Child Lock, Auto Cook Menu, Touch Control","LG Convection microwave oven with child lock, auto cook menu, touch control. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800061.jpg,https://example.com/products/800061
800062,LG Convection,Home Appliances,Microwave Oven,LG,Convection,18000,20600,13,4.9,14214,In Stock,ShopWise Home,1 Year,White,5 Star,7kg,1500W,"Child Lock, Timer, Auto Cook Menu","LG Convection microwave oven with child lock, timer, auto cook menu. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800062.jpg,https://example.com/products/800062
800063,Livpure RO,Home Appliances,Water Purifier,Livpure,RO,27700,28600,3,4.7,7699,In Stock,ShopWise Home,1 Year,White,4 Star,330L,1500W,"UV, TDS Controller, Mineral Booster","Livpure RO water purifier with uv, tds controller, mineral booster. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800063.jpg,https://example.com/products/800063
800064,IFB Semi Automatic,Home Appliances,Washing Machine,IFB,Semi Automatic,59700,63200,6,4.7,9706,In Stock,ShopWise Home,1 Year,Black,3 Star,1L,1500W,"Child Lock, Smart Diagnosis, Inverter Motor","IFB Semi Automatic washing machine with child lock, smart diagnosis, inverter motor. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800064.jpg,https://example.com/products/800064
800065,LG Convection,Home Appliances,Microwave Oven,LG,Convection,18000,21800,17,4.5,4274,In Stock,ShopWise Home,1 Year,White,3 Star,2L,500W,"Defrost, Auto Cook Menu, Timer","LG Convection microwave oven with defrost, auto cook menu, timer. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800065.jpg,https://example.com/products/800065
